WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Esperance,AU,-33.8667,121.9,53.44,82,100,13.98,overcast clouds
27,Nanortalik,GL,60.1432,-45.2371,40.3,79,70,2.19,broken clouds
28,San Juan,AR,-31.5375,-68.5364,80.01,20,0,8.05,clear sky
29,Hilo,US,19.7297,-155.09,89.28,65,0,5.75,clear sky
30,Dukat,RU,62.55,155.55,16.68,93,97,3.87,overcast clouds
31,Vila Velha,BR,-20.3297,-40.2925,75.15,77,40,10.36,scattered clouds
32,Tura,IN,25.5198,90.2201,73.81,94,91,3.76,overcast clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,100,11.5,overcast clouds
34,Henties Bay,NA,-22.116,14.2845,56.86,85,0,7.16,clear sky
35,Bredasdorp,ZA,-34.5322,20.0403,52.93,89,98,4.41,overcast clouds
36,Mitchell,US,43.7094,-98.0298,82.74,29,0,16.11,clear sky
37,Edremit,TR,39.5961,27.0244,67.75,68,20,3.44,few clouds
38,Avarua,CK,-21.2078,-159.775,73.45,56,75,9.22,broken clouds
39,Vaini,TO,-21.2,-175.2,75.36,78,75,10.36,broken clouds
40,Leyland,GB,53.6979,-2.6876,56.68,82,45,14.67,scattered clouds
41,Mecca,SA,21.4267,39.8261,83.25,59,0,1.52,clear sky
42,Bluff,NZ,-46.6,168.3333,47.8,77,78,7.18,broken clouds
43,Toyooka,JP,35.5333,134.8333,61.9,86,63,2.75,broken clouds
44,Kulhudhuffushi,MV,6.6221,73.07,80.26,81,100,17.76,overcast clouds
45,Tateyama,JP,34.9833,139.8667,69.1,80,76,9.82,broken clouds
46,Codrington,AU,-38.2667,141.9667,46.83,89,0,5.32,clear sky
47,Trairi,BR,-3.2778,-39.2689,78.39,77,38,12.48,scattered clouds
48,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,84,79,10.54,broken clouds
49,Albany,US,42.6001,-73.9662,64.81,66,99,2.13,overcast clouds
50,Sao Filipe,CV,14.8961,-24.4956,78.76,78,13,11.74,few clouds
51,Lorengau,PG,-2.0226,147.2712,81.82,78,21,9.55,few clouds
52,Severo-Kurilsk,RU,50.6789,156.125,46.15,75,95,20.51,overcast clouds
53,Moose Factory,CA,51.2585,-80.6094,48.2,53,75,12.66,broken clouds
54,Bontang,ID,0.1333,117.5,78.39,85,100,2.71,overcast clouds
55,Zhigansk,RU,66.7697,123.3711,23.45,84,95,1.52,overcast clouds
56,Ileza,RU,61.0533,43.9002,45.05,91,100,4.36,overcast clouds
57,Nome,US,64.5011,-165.4064,39.27,65,20,3.44,few clouds
58,Salalah,OM,17.0151,54.0924,80.69,83,75,6.91,broken clouds
59,Narsaq,GL,60.9167,-46.05,39.42,93,100,1.45,light rain
60,Nuevo Progreso,MX,23.1667,-97.95,81.55,62,0,8.72,clear sky
61,Taoudenni,ML,22.6783,-3.9836,90.93,17,3,6.62,clear sky
62,San Patricio,US,28.017,-97.5169,89.17,27,0,10.2,clear sky
63,Cockburn Town,TC,21.4612,-71.1419,82.94,76,76,17.96,broken clouds
64,Buchanan,LR,5.8808,-10.0467,75.79,90,100,7.05,light rain
65,Georgetown,MY,5.4112,100.3354,76.95,88,20,3.44,few clouds
66,Bethel,US,41.3712,-73.414,61.65,81,100,10.92,overcast clouds
67,Bosaso,SO,11.2842,49.1816,85.6,58,19,3.98,few clouds
68,Goderich,CA,43.7501,-81.7165,68.32,40,100,13.8,overcast clouds
69,Sipe Sipe,BO,-17.45,-66.3833,81.09,36,37,8.05,scattered clouds
70,Kodiak,US,57.79,-152.4072,47.71,81,100,0.0,overcast clouds
71,Chuy,UY,-33.6971,-53.4616,58.86,77,33,7.7,scattered clouds
72,Torbay,CA,47.6666,-52.7314,60.58,75,75,20.71,broken clouds
73,Karratha,AU,-20.7377,116.8463,71.92,77,0,10.63,clear sky
74,Chokurdakh,RU,70.6333,147.9167,22.12,95,100,4.59,overcast clouds
75,Katsuura,JP,35.1333,140.3,69.91,82,46,10.4,scattered clouds
76,Carnarvon,AU,-24.8667,113.6333,65.59,76,0,16.73,clear sky
77,Souillac,MU,-20.5167,57.5167,71.98,68,75,10.36,broken clouds
78,Khatanga,RU,71.9667,102.5,27.97,89,100,13.13,overcast clouds
79,Benguela,AO,-12.5763,13.4055,73.17,82,94,5.35,overcast clouds
80,Srednekolymsk,RU,67.45,153.6833,25.39,89,100,7.09,overcast clouds
81,Inuvik,CA,68.3499,-133.7218,33.01,93,100,11.5,light intensity drizzle
82,Saldanha,ZA,-33.0117,17.9442,55.45,80,13,10.4,few clouds
83,Atuona,PF,-9.8,-139.0333,76.93,70,12,16.91,few clouds
84,Arona,ES,28.0996,-16.681,64.98,68,20,10.36,few clouds
85,Castro,BR,-24.7911,-50.0119,63.09,87,58,4.43,broken clouds
86,Hamilton,US,39.1834,-84.5333,74.98,46,0,21.85,clear sky
87,Lulea,SE,65.5842,22.1547,48.27,81,100,11.5,overcast clouds
88,Tukrah,LY,32.5341,20.5791,87.85,37,0,4.34,clear sky
89,Bayonet Point,US,28.3267,-82.6834,85.98,64,2,5.01,clear sky
90,Sharjah,AE,25.3573,55.4033,87.78,70,0,3.44,clear sky
91,Jamestown,US,42.097,-79.2353,61.02,66,0,13.8,clear sky
92,Abrau-Dyurso,RU,44.69,37.59,63.86,76,93,6.04,overcast clouds
93,Anadyr,RU,64.75,177.4833,34.3,80,0,2.24,clear sky
94,Kalabo,ZM,-14.97,22.6814,71.65,22,0,6.46,clear sky
95,Kaitangata,NZ,-46.2817,169.8464,46.15,71,20,3.6,few clouds
96,Barrow,US,71.2906,-156.7887,28.42,74,100,14.97,overcast clouds
97,Upernavik,GL,72.7868,-56.1549,21.69,86,22,3.98,few clouds
98,Kasongo,CD,-4.45,26.6667,67.89,91,16,3.33,few clouds
99,Dalbandin,PK,28.8947,64.4101,77.25,14,0,2.39,clear sky
100,Baykit,RU,61.67,96.37,27.99,88,100,4.54,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,97,5.01,overcast clouds
102,Tiksi,RU,71.6872,128.8694,17.89,90,100,12.06,overcast clouds
103,Makakilo City,US,21.3469,-158.0858,84.61,62,75,11.5,broken clouds
104,Butaritari,KI,3.0707,172.7902,82.22,73,100,14.29,light rain
105,Jamiltepec,MX,16.2833,-97.8167,77.2,87,57,4.9,broken clouds
106,Cherskiy,RU,68.75,161.3,29.89,97,100,1.81,light snow
107,Vestmannaeyjar,IS,63.4427,-20.2734,47.61,88,100,30.94,overcast clouds
108,Dikson,RU,73.5069,80.5464,33.6,98,100,15.64,overcast clouds
109,Polunochnoye,RU,60.8697,60.4153,31.33,87,99,4.41,overcast clouds
110,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,2.3,broken clouds
111,Bubaque,GW,11.2833,-15.8333,81.03,78,83,13.94,broken clouds
112,Bilibino,RU,68.0546,166.4372,29.64,86,100,0.78,overcast clouds
113,Marawi,PH,7.9986,124.2928,68.2,94,60,1.88,broken clouds
114,Meulaboh,ID,4.1363,96.1285,77.23,85,100,7.83,overcast clouds
