City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Labuhan,ID,82.06,overcast clouds,-6.8844,112.2051,DoubleFAG
231,Hobyo,SO,76.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
232,Katsuura,JP,77.2,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
235,Hasaki,JP,84.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
236,Ravar,IR,70.66,clear sky,31.2656,56.8055,computertik
237,Sorong,ID,83.44,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
240,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
241,Conakry,GN,78.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
245,Laguna,US,87.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
251,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Seminole,US,71.96,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
254,Meulaboh,ID,76.37,overcast clouds,4.1363,96.1285,Kost Pria
258,Dera Ghazi Khan,PK,79.61,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
259,Tevaitoa,PF,78.53,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
260,Tautira,PF,76.64,light rain,-17.7333,-149.15,Pension Oaoa
266,Daru,PG,82.17,broken clouds,-9.0763,143.2092,Daru Lodge
269,Broken Hill,AU,72.77,light rain,-31.95,141.4333,Royal Exchange Hotel
272,Eydhafushi,MV,80.56,light rain,5.1033,73.0708,Soneva Fushi
274,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
275,Maningrida,AU,86.76,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
278,Sao Filipe,CV,79.2,light rain,14.8961,-24.4956,Hotel Xaguate
280,Lahat,ID,77.83,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
282,Kurri Kurri,AU,71.82,broken clouds,-32.8167,151.4833,Kurri Motor Inn
285,Bilma,NE,86.11,clear sky,18.6853,12.9164,Expeditions Ténére voyages
286,Umm Bab,QA,82.42,clear sky,25.2142,50.8072,
288,Cabusao,PH,85.51,overcast clouds,13.7227,123.1169,Nicole's hotel
289,Emerald,AU,74.34,few clouds,-23.5333,148.1667,The Irish Village
291,Poum,NC,74.26,clear sky,-20.2333,164.0167,
293,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
303,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
304,Kieta,PG,83.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
307,Bagotville,AU,71.64,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
308,Kasangulu,CD,74.34,broken clouds,-4.5911,15.1708,Hôtel le Relais
315,Bousso,TD,73.18,overcast clouds,10.4795,16.7117,
316,Jacareacanga,BR,72.81,moderate rain,-6.2222,-57.7528,Casa do Ian😎
317,Gold Coast,AU,74.77,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
318,Marsaxlokk,MT,73.08,few clouds,35.8419,14.5431,Water's Edge
320,Ambagarh Chauki,IN,75.16,overcast clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
321,Manado,ID,86.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
322,Mersing,MY,80.51,few clouds,2.4312,103.8405,Timotel Hotel
323,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
324,Pasni,PK,78.19,clear sky,25.2631,63.471,Kashmiri Hotal
329,Mokolo,CM,71.64,light rain,10.7398,13.8019,Diwa Hôtel
330,Anloga,GH,77.77,broken clouds,5.7947,0.8973,Pin Drop Hotel
335,Port Keats,AU,87.55,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
336,Muroto,JP,78.33,scattered clouds,33.2833,134.15,Oota Ryokan
337,Guerrero Negro,MX,70.25,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
339,San Matias,BO,81.66,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
340,Nabire,ID,78.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
342,Colares,PT,70.75,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
343,Domoni,KM,72.99,scattered clouds,-12.2569,44.5319,Al Djadid
344,Yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
348,Abilene,US,75.42,clear sky,32.4487,-99.7331,Baymont by Wyndham Abilene
353,Chilliwack,CA,77.52,clear sky,49.1747,-121.9443,Coast Chilliwack Hotel by APA
360,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
362,Liku,ID,83.89,broken clouds,-0.7275,119.8922,Kost annisa
364,Nizwa,OM,75.4,clear sky,22.9333,57.5333,Orient Apartments
365,Luanda,AO,72.48,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
371,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
372,Piacabucu,BR,72.36,clear sky,-10.4056,-36.4344,Piaçabuçu News
376,Tessalit,ML,86.77,clear sky,20.1986,1.0114,
379,Umm Lajj,SA,84.22,clear sky,25.0213,37.2685,Moon light Furnished Units
381,Celestun,MX,79.56,scattered clouds,20.8667,-90.4,Posada Lilia
384,Jaciara,BR,76.77,overcast clouds,-15.9653,-54.9683,Taba Hotel
386,Vila Franca Do Campo,PT,75.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
387,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
391,Parintins,BR,77.11,overcast clouds,-2.6283,-56.7358,Cama e Cafe
392,Touros,BR,76.91,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
394,Caibarien,CU,72.72,light rain,22.5206,-79.4669,La Nena
395,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
396,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
398,Ponta Do Sol,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
399,Namatanai,PG,86.58,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
400,Alexandria,EG,76.26,clear sky,31.2156,29.9553,Royal Crown Hotel
